Date,Close,Close_Ema_21
1970-01-02,-0.9067848123814141,-0.906349063783495
1970-01-05,-0.9066659842981156,-0.9063299304240656
1970-01-06,-0.9066808405275709,-0.9063138891835921
1970-01-07,-0.9067253974075216,-0.9063033633304328
1970-01-08,-0.9067105461500305,-0.9062924421030896
1970-01-09,-0.9066808405275709,-0.9062798088917956
1970-01-12,-0.9067402511509947,-0.9062737337432663
1970-01-13,-0.9067699549089676,-0.9062709155339974
1970-01-14,-0.9067551024084856,-0.906267001142466
1970-01-15,-0.9068293736118335,-0.9062702053124932
1970-01-16,-0.9067996648818961,-0.906270413088587
1970-01-19,-0.9067996648818961,-0.9062706019759451
1970-01-20,-0.9068293736118335,-0.9062734787974743
1970-01-21,-0.9068442223833423,-0.9062774461333398
1970-01-22,-0.9068887798847883,-0.9062851099516239
1970-01-23,-0.9069927554676047,-0.9063015444765586
1970-01-26,-0.9069779017241316,-0.906315132457487
1970-01-27,-0.9070224641975421,-0.9063315427694559
1970-01-28,-0.9072452610272059,-0.9063667478303066
1970-01-29,-0.9073937798170709,-0.9064122756962334
1970-01-30,-0.9074531966554501,-0.9064590748201663
1970-02-02,-0.907497758507365,-0.9065056770237311
1970-02-03,-0.9073640797880712,-0.9065358706494913
1970-02-04,-0.9073789322885533,-0.9065646717832871
1970-02-05,-0.9073937798170709,-0.9065922065625794
1970-02-06,-0.9075571678877977,-0.9066321153563012
1970-02-09,-0.9075868697812841,-0.9066711005611278
1970-02-10,-0.9078245178684389,-0.9067281805217745
1970-02-11,-0.9077799640959661,-0.9067760145853132
1970-02-12,-0.9079433459517373,-0.9068343767079063
1970-02-13,-0.9079730534386836,-0.9068901381755606
1970-02-16,-0.908166140295419,-0.9069584117953783
1970-02-17,-0.9081958496468518,-0.9070231838848242
1970-02-18,-0.9078690853138137,-0.9070523143253418
1970-02-19,-0.9077799640959661,-0.9070706816794651
1970-02-20,-0.9076017266322349,-0.9070711499977833
1970-02-24,-0.9076314322546946,-0.9070742805645091
1970-02-25,-0.9075274641298247,-0.9070676597959337
1970-02-26,-0.9077205534725423,-0.9070792225182657
1970-02-27,-0.9077354028655467,-0.9070910861841781
1970-03-02,-0.9077948172179436,-0.9071072812635568
1970-03-03,-0.9078245178684389,-0.9071247084330737
1970-03-04,-0.9077948172179436,-0.9071378469443709
1970-03-05,-0.9077354028655467,-0.907144381117001
1970-03-06,-0.9077948172179436,-0.9071557312024867
1970-03-09,-0.9078690853138137,-0.9071728118868533
1970-03-10,-0.9077502566090198,-0.9071775199246334
1970-03-11,-0.9076314322546946,-0.9071709804980089
1970-03-12,-0.9076611384986497,-0.9071677404441041
1970-03-13,-0.9076611384986497,-0.9071647949405541
1970-03-16,-0.907675993485114,-0.9071634698195187
1970-03-17,-0.907675993485114,-0.9071622651640318
1970-03-18,-0.9076165834831857,-0.9071557604902595
1970-03-19,-0.9076165834831857,-0.9071498471504664
1970-03-20,-0.9075868697812841,-0.9071417658285508
1970-03-23,-0.9076017266322349,-0.9071357719514974
1970-03-24,-0.907497758507365,-0.9071208562340322
1970-03-25,-0.9073492204511382,-0.9070937714714445
1970-03-26,-0.9073343735441161,-0.9070677970862043
1970-03-30,-0.9072898154211744,-0.907040126802808
1970-03-31,-0.9073492204511382,-0.9070203810794226
1970-04-01,-0.9073195179361563,-0.9069997258819483
1970-04-02,-0.9073195179361563,-0.906980948429699
1970-04-03,-0.9072898154211744,-0.9069611734787123
1970-04-06,-0.9073343735441161,-0.9069472534564477
1970-04-07,-0.9074680497774277,-0.9069467706782378
1970-04-08,-0.9074680497774277,-0.906946331788956
1970-04-09,-0.907438344154968,-0.9069432279759
1970-04-10,-0.907497758507365,-0.9069458162562164
1970-04-13,-0.907512608521865,-0.906949521395068
1970-04-14,-0.907512608521865,-0.906952889703115
1970-04-15,-0.907497758507365,-0.9069545996445937
1970-04-16,-0.9075868697812841,-0.9069642680959391
1970-04-17,-0.9077205534725423,-0.906985230063725
1970-04-20,-0.9077651041375374,-0.9070083429249035
1970-04-21,-0.907705697243087,-0.9070239453674125
1970-04-22,-0.907675993485114,-0.9070354247530261
1970-04-23,-0.907675993485114,-0.9070458605581294
